id,y_DFT,y_pred_scratch,y_pred_pretrained,is_stable_DFT
Type4-CrTiGaC,-2.787,-1.9050598,2.32193,True
Type4-MnTaGeN,301.881,363.11172,261.21878,False
Type4-MnTiSiP,313.869,352.1253,331.58234,False
Type4-VScGeC,114.304,118.88042,72.68768,False
Type4-CoNbAlP,255.587,483.81537,373.61993,False
Type4-VWAlB,186.102,195.64407,207.63617,False
Type4-FeZrAlB,313.841,279.0904,276.1273,False
Type4-FeHfAlB,260.226,289.35046,276.20898,False
Type4-VZrGeB,390.639,432.7702,327.16064,False
Type4-VTaSiN,212.934,221.2908,167.30078,False
Type4-NiCuGaB,327.941,385.39807,303.19626,False
Type4-VCrSiB,281.34,254.66301,258.69427,False
Type4-MnNiGeC,352.821,287.11148,291.4796,False
Type4-VScAlP,327.353,423.63635,315.0431,False
Type4-MnMoGaP,251.628,264.31802,221.04799,False
Type4-CoYGeP,155.777,340.5722,265.126,False
Type4-VMoSiP,345.942,340.3105,312.28146,False
Type4-NiHfGeC,331.234,475.7182,334.04883,False
Type4-CoMoAlB,338.21,399.1487,344.14743,False
Type4-FeHfGaB,243.49,264.84024,242.37215,False
Type4-NiZrGaP,143.08,437.17773,281.1396,False
Type4-NiZrGaN,489.799,502.92517,406.23483,False
Type4-CoMoGeP,218.133,254.38103,227.46814,False
Type4-MnWGeN,258.019,325.20932,322.48846,False
Type4-VCoSiB,462.894,517.6108,451.8834,False
Type4-MnYAlC,232.811,176.28658,186.06435,False
Type4-CrNbGeP,192.975,310.57544,228.70657,False
Type4-VTaGaC,25.479,34.659363,31.925812,True
Type4-VMnSiB,372.324,325.29196,307.14325,False
Type4-VTaAlP,309.282,371.21564,272.49326,False
Type4-VTaSiB,236.734,267.19678,206.39238,False
Type4-FeTaGeN,385.008,417.49094,391.71777,False
Type4-CoTiGeC,192.137,254.137,198.48882,False
Type4-CoNiAlB,296.291,251.75395,311.8125,False
Type4-CrNbGaB,203.443,240.67288,194.89874,False
